IP Address,MAC Address,Request Count,Timestamp,Reason
192.168.100.6,N/A,1,2026-05-14 10:38:17,malicious_payload:xss
192.168.100.6,N/A,1,2026-05-14 10:41:52,malicious_payload:sql
192.168.100.6,N/A,1,2026-05-14 10:45:43,malicious_payload:lfi
192.168.100.6,N/A,2,2026-05-14 10:46:19,malicious_payload:lfi
192.168.100.6,N/A,2,2026-05-14 10:46:48,malicious_payload:xss
192.168.100.6,N/A,1,2026-05-14 10:47:59,malicious_payload:ssti
192.168.100.6,N/A,2,2026-05-14 10:48:30,malicious_payload:xss
192.168.100.6,N/A,3,2026-05-14 10:48:57,malicious_payload:sql
192.168.100.6,N/A,3,2026-05-14 10:49:30,malicious_payload:lfi
192.168.100.6,N/A,2,2026-05-14 10:49:58,malicious_payload:ssti
